,Televisor_analogico,Televisor_con_decodificador,Televisor_digital,Telefono_celular,Computadora_escritorio,Laptop,Internet,Estrato_socioeconomico,Tipo_de_entorno
156,No,No,Si,Si,Si,Si,Si,Alto,Urbano
157,Si,No,Si,Si,No,Si,Si,Alto,Urbano
158,No,No,Si,Si,No,No,Si,Alto,Urbano
159,Si,No,Si,Si,No,Si,Si,Alto,Urbano
160,Si,Si,Si,Si,No,Si,Si,Bajo,Urbano
161,Si,No,No,Si,No,No,No,Bajo,Urbano
162,No,No,Si,Si,No,No,Si,Bajo,Urbano
163,No,No,Si,Si,No,No,No,Bajo,Urbano
164,No,No,No,Si,No,No,Si,Bajo,Urbano
165,No,No,Si,Si,No,No,No,Bajo,Urbano
166,No,No,No,Si,No,No,No,Bajo,Urbano
167,Si,No,No,Si,Si,No,Si,Medio bajo,Urbano
168,Si,Si,No,Si,No,No,Si,Medio bajo,Urbano
169,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
170,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
171,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
172,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
173,Si,No,Si,Si,No,No,Si,Medio bajo,Urbano
174,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
175,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
176,No,No,No,Si,No,No,Si,Medio bajo,Urbano
177,No,No,Si,Si,Si,No,Si,Medio bajo,Urbano
178,No,Si,Si,Si,No,Si,Si,Medio bajo,Urbano
179,No,No,Si,Si,No,No,No,Bajo,Rural
180,No,No,No,Si,No,Si,No,Bajo,Rural
181,No,No,Si,Si,No,No,Si,Bajo,Rural
182,Si,No,No,Si,No,No,No,Bajo,Rural
183,Si,No,No,Si,No,No,No,Bajo,Rural
184,Si,No,No,Si,No,Si,Si,Bajo,Rural
185,Si,No,No,Si,No,Si,No,Bajo,Rural
186,Si,No,No,Si,No,No,No,Bajo,Rural
187,No,No,Si,Si,Si,Si,Si,Bajo,Rural
188,Si,No,Si,Si,No,No,Si,Bajo,Rural
189,No,No,No,Si,No,No,No,Bajo,Urbano
190,No,No,No,Si,No,No,Si,Bajo,Urbano
191,No,No,Si,Si,No,Si,Si,Alto,Urbano
