,Televisor_analogico,Televisor_con_decodificador,Televisor_digital,Telefono_celular,Computadora_escritorio,Laptop,Internet,Estrato_socioeconomico,Tipo_de_entorno
10533,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10534,No,No,Si,Si,No,No,No,Medio alto,Urbano
10535,Si,No,Si,Si,No,No,No,Medio alto,Urbano
10536,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10537,Si,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10538,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10539,No,No,Si,Si,No,Si,No,Medio alto,Urbano
10540,Si,Si,No,Si,No,No,No,Medio alto,Urbano
10541,Si,Si,Si,No,No,No,No,Medio alto,Urbano
10542,No,No,Si,Si,No,No,No,Medio alto,Urbano
10543,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10544,Si,Si,Si,Si,No,Si,Si,Medio bajo,Urbano
10545,No,No,Si,No,No,No,No,Medio bajo,Urbano
10546,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10547,No,No,Si,Si,No,Si,No,Alto,Urbano
10548,Si,No,Si,Si,No,Si,Si,Alto,Urbano
10549,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
10550,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
10551,Si,Si,No,Si,No,Si,Si,Medio alto,Urbano
10552,No,Si,Si,Si,No,No,No,Medio alto,Urbano
10553,No,Si,Si,Si,No,Si,Si,Medio alto,Urbano
10554,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10555,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10556,Si,No,Si,Si,No,No,Si,Bajo,Rural
10557,No,No,Si,Si,No,No,Si,Bajo,Rural
10558,Si,No,No,Si,No,No,No,Medio bajo,Urbano
10559,Si,No,No,Si,No,No,No,Medio bajo,Urbano
10560,No,No,Si,Si,No,Si,No,Medio bajo,Urbano
10561,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10562,No,No,No,Si,No,No,Si,Medio bajo,Urbano
10563,No,Si,Si,Si,Si,Si,Si,Medio bajo,Urbano
10564,Si,Si,Si,Si,Si,Si,Si,Medio bajo,Urbano
10565,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10566,Si,Si,No,Si,No,No,Si,Bajo,Rural
10567,No,No,Si,Si,No,Si,Si,Bajo,Rural
10568,Si,No,Si,Si,No,No,Si,Bajo,Rural
10569,Si,No,Si,Si,No,No,Si,Bajo,Rural
10570,No,No,No,Si,Si,Si,Si,Alto,Urbano
10571,No,No,No,Si,No,No,No,Bajo,Urbano
10572,No,No,Si,Si,No,No,Si,Bajo,Urbano
10573,No,No,Si,Si,No,No,Si,Bajo,Urbano
10574,No,No,Si,No,No,No,No,Bajo,Urbano
10575,Si,No,Si,Si,No,No,No,Bajo,Urbano
10576,Si,No,No,Si,No,No,No,Bajo,Urbano
10577,Si,No,No,Si,No,No,No,Bajo,Urbano
10578,No,No,Si,Si,No,No,No,Bajo,Urbano
10579,Si,No,No,No,No,No,No,Bajo,Urbano
10580,No,No,Si,Si,No,No,No,Bajo,Urbano
10581,Si,No,Si,Si,No,No,No,Bajo,Urbano
10582,No,No,Si,Si,No,No,No,Bajo,Urbano
10583,No,No,Si,Si,No,No,No,Bajo,Urbano
10584,Si,No,No,Si,No,No,No,Bajo,Urbano
10585,Si,Si,Si,Si,No,Si,Si,Bajo,Urbano
10586,No,Si,Si,Si,No,Si,Si,Bajo,Urbano
10587,Si,Si,Si,Si,No,No,No,Bajo,Urbano
10588,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10589,Si,No,Si,Si,No,No,No,Medio bajo,Rural
10590,No,Si,Si,Si,No,No,No,Medio bajo,Rural
10591,Si,No,Si,Si,No,No,Si,Medio bajo,Rural
10592,Si,Si,Si,Si,No,No,No,Medio bajo,Rural
10593,No,Si,Si,Si,No,No,No,Medio bajo,Rural
10594,Si,No,No,No,No,No,No,Medio alto,Urbano
10595,No,Si,Si,Si,Si,Si,Si,Medio alto,Urbano
10596,Si,No,Si,Si,No,No,Si,Medio alto,Urbano
10597,No,No,Si,Si,No,Si,Si,Medio bajo,Rural
10598,No,No,Si,Si,No,No,No,Medio bajo,Rural
10599,No,No,No,Si,Si,Si,Si,Alto,Urbano
10600,No,No,Si,Si,No,Si,Si,Alto,Urbano
10601,No,No,Si,Si,Si,No,Si,Alto,Urbano
10602,No,No,Si,Si,No,Si,Si,Alto,Urbano
10603,No,No,Si,Si,No,No,No,Medio alto,Urbano
10604,Si,No,No,Si,No,No,No,Medio alto,Urbano
10605,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10606,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10607,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
10608,No,No,No,Si,No,No,No,Medio bajo,Urbano
10609,Si,Si,Si,Si,Si,Si,Si,Medio bajo,Urbano
10610,Si,No,No,No,No,No,No,Medio bajo,Urbano
10611,No,No,Si,Si,No,Si,Si,Alto,Urbano
10612,No,No,Si,Si,No,Si,Si,Alto,Urbano
10613,Si,No,No,Si,No,No,Si,Alto,Urbano
10614,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10615,Si,Si,Si,Si,No,No,No,Medio alto,Urbano
10616,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10617,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10618,Si,No,Si,Si,No,No,No,Medio bajo,Rural
10619,Si,No,No,No,No,No,No,Medio bajo,Rural
10620,Si,No,No,Si,No,No,No,Medio bajo,Rural
10621,Si,Si,No,Si,No,No,Si,Medio bajo,Rural
10622,No,No,Si,Si,Si,Si,Si,Medio bajo,Rural
10623,No,No,No,Si,No,No,No,Medio bajo,Rural
10624,Si,Si,Si,Si,No,Si,Si,Medio bajo,Rural
10625,Si,No,Si,Si,No,No,Si,Medio bajo,Rural
10626,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10627,No,No,No,Si,No,No,Si,Medio bajo,Urbano
10628,Si,No,No,Si,No,No,No,Medio bajo,Urbano
10629,Si,No,No,Si,No,No,No,Medio bajo,Urbano
10630,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10631,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10632,No,No,No,Si,No,No,No,Medio alto,Urbano
10633,Si,No,Si,No,No,No,No,Medio alto,Urbano
10634,Si,Si,Si,Si,Si,No,Si,Medio alto,Urbano
10635,No,Si,Si,Si,No,No,No,Medio alto,Urbano
10636,Si,Si,Si,Si,Si,Si,Si,Medio alto,Urbano
10637,No,No,Si,Si,Si,No,Si,Medio alto,Urbano
10638,Si,No,Si,Si,No,No,No,Medio alto,Urbano
10639,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10640,Si,No,No,No,No,No,No,Bajo,Urbano
10641,No,No,Si,Si,No,No,No,Bajo,Urbano
10642,No,No,Si,No,No,No,No,Bajo,Urbano
10643,No,No,No,No,No,No,No,Bajo,Urbano
10644,Si,Si,No,Si,No,No,No,Bajo,Rural
10645,Si,No,Si,Si,No,No,No,Bajo,Rural
10646,No,No,Si,Si,No,No,No,Bajo,Rural
10647,No,No,Si,Si,No,No,No,Bajo,Rural
10648,Si,Si,Si,Si,Si,Si,Si,Alto,Urbano
10649,Si,No,Si,Si,No,Si,Si,Alto,Urbano
10650,No,No,Si,Si,No,Si,Si,Alto,Urbano
10651,Si,No,No,Si,Si,No,Si,Alto,Urbano
10652,Si,No,Si,Si,No,Si,No,Alto,Urbano
10653,Si,Si,Si,Si,No,No,No,Alto,Urbano
10654,No,No,Si,Si,No,Si,No,Alto,Urbano
10655,Si,Si,No,Si,No,No,No,Bajo,Rural
10656,No,No,No,No,No,No,No,Medio bajo,Rural
10657,Si,No,Si,Si,No,No,No,Medio bajo,Rural
10658,No,Si,Si,Si,No,No,No,Medio bajo,Rural
10659,No,No,Si,Si,No,No,No,Medio bajo,Rural
10660,No,No,No,No,No,No,No,Medio bajo,Rural
10661,No,No,No,Si,No,No,No,Medio bajo,Rural
10662,No,No,No,No,No,No,No,Medio bajo,Rural
10663,No,No,Si,Si,No,No,Si,Bajo,Rural
10664,No,No,Si,Si,Si,No,Si,Bajo,Rural
10665,No,No,Si,Si,No,No,Si,Bajo,Rural
10666,No,No,Si,Si,No,Si,Si,Bajo,Rural
10667,No,No,Si,Si,No,No,No,Bajo,Rural
10668,Si,No,Si,Si,No,No,No,Bajo,Rural
10669,Si,No,No,Si,No,Si,Si,Bajo,Rural
10670,No,No,Si,Si,No,No,Si,Bajo,Rural
10671,No,No,Si,Si,No,No,Si,Bajo,Rural
10672,Si,Si,No,Si,No,No,Si,Bajo,Rural
10673,No,No,Si,Si,No,No,Si,Bajo,Rural
10674,Si,No,Si,Si,No,Si,Si,Alto,Urbano
10675,No,No,Si,Si,No,No,No,Bajo,Urbano
10676,No,No,Si,Si,Si,No,No,Bajo,Urbano
10677,Si,No,Si,Si,No,No,No,Bajo,Urbano
10678,No,No,No,Si,No,No,No,Bajo,Urbano
10679,No,No,Si,Si,No,No,No,Bajo,Urbano
10680,Si,No,Si,Si,No,No,No,Bajo,Urbano
10681,Si,Si,No,Si,Si,Si,No,Bajo,Urbano
10682,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10683,Si,No,No,Si,No,No,No,Medio alto,Urbano
10684,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10685,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10686,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10687,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10688,Si,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10689,Si,No,Si,No,No,No,No,Medio alto,Urbano
10690,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
10691,No,No,Si,Si,Si,No,Si,Medio alto,Urbano
10692,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10693,No,No,Si,Si,No,Si,Si,Alto,Urbano
10694,No,No,Si,Si,No,Si,Si,Alto,Urbano
10695,No,No,Si,Si,No,No,Si,Alto,Urbano
10696,No,No,Si,Si,No,Si,Si,Alto,Urbano
10697,No,No,Si,Si,Si,No,Si,Alto,Urbano
10698,No,No,Si,Si,No,No,Si,Alto,Urbano
10699,Si,No,Si,Si,No,Si,Si,Alto,Urbano
10700,No,No,Si,Si,No,Si,Si,Alto,Urbano
10701,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10702,No,Si,Si,Si,No,No,Si,Alto,Urbano
10703,No,No,Si,Si,No,No,Si,Alto,Urbano
10704,No,No,Si,Si,Si,Si,No,Medio bajo,Urbano
10705,No,No,Si,Si,No,Si,No,Medio bajo,Urbano
10706,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10707,No,No,Si,Si,No,Si,No,Medio bajo,Rural
10708,No,No,Si,Si,No,No,Si,Bajo,Urbano
10709,No,No,Si,Si,No,Si,Si,Bajo,Urbano
10710,No,No,Si,Si,No,No,No,Bajo,Urbano
10711,No,No,Si,Si,No,Si,Si,Bajo,Urbano
10712,Si,No,Si,Si,No,Si,Si,Medio bajo,Rural
10713,Si,Si,No,Si,No,No,No,Medio bajo,Rural
10714,Si,No,Si,Si,No,Si,Si,Medio bajo,Rural
10715,No,No,Si,Si,Si,Si,Si,Medio bajo,Rural
10716,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10717,No,No,Si,Si,No,No,No,Bajo,Urbano
10718,No,Si,Si,Si,No,No,No,Bajo,Urbano
10719,No,No,No,No,No,No,No,Medio bajo,Rural
10720,No,No,No,Si,No,No,No,Medio bajo,Rural
10721,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10722,No,No,Si,Si,No,No,No,Medio bajo,Rural
10723,Si,Si,No,Si,No,No,Si,Medio bajo,Rural
10724,No,No,Si,Si,No,Si,Si,Medio bajo,Rural
10725,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10726,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10727,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
10728,No,No,No,Si,No,Si,Si,Medio bajo,Urbano
10729,No,No,Si,Si,Si,No,Si,Medio bajo,Urbano
10730,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10731,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
10732,No,No,Si,No,No,No,No,Medio bajo,Urbano
10733,No,No,Si,Si,No,Si,No,Alto,Urbano
10734,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10735,No,No,Si,Si,Si,No,Si,Alto,Urbano
10736,No,Si,Si,Si,No,No,Si,Alto,Urbano
10737,No,No,Si,Si,Si,Si,No,Medio alto,Urbano
10738,Si,Si,Si,Si,No,Si,Si,Medio alto,Urbano
10739,No,No,Si,Si,No,No,No,Bajo,Rural
10740,No,No,Si,Si,No,No,No,Bajo,Rural
10741,Si,No,No,Si,No,Si,Si,Medio bajo,Rural
10742,Si,Si,Si,Si,No,No,Si,Medio bajo,Rural
10743,Si,Si,Si,Si,No,No,Si,Medio alto,Urbano
10744,Si,No,Si,Si,Si,No,Si,Medio bajo,Urbano
10745,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10746,No,No,Si,Si,Si,Si,Si,Bajo,Urbano
10747,No,No,Si,Si,No,Si,Si,Alto,Urbano
10748,Si,No,No,Si,Si,Si,Si,Alto,Urbano
10749,Si,Si,Si,Si,Si,Si,Si,Alto,Urbano
10750,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10751,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10752,No,Si,Si,Si,Si,Si,Si,Alto,Urbano
10753,No,No,Si,Si,No,Si,Si,Alto,Urbano
10754,Si,Si,Si,Si,No,No,No,Alto,Urbano
10755,Si,No,Si,Si,No,Si,Si,Alto,Urbano
10756,No,No,Si,Si,No,Si,Si,Alto,Urbano
10757,No,No,Si,Si,No,Si,Si,Alto,Urbano
10758,No,No,Si,Si,No,Si,Si,Alto,Urbano
10759,No,No,Si,Si,Si,No,Si,Alto,Urbano
10760,No,Si,Si,Si,No,No,No,Alto,Urbano
10761,No,No,Si,Si,No,No,No,Alto,Urbano
10762,Si,No,Si,No,No,No,No,Bajo,Rural
10763,No,No,Si,Si,No,No,No,Bajo,Rural
10764,No,No,Si,Si,No,No,No,Bajo,Rural
10765,No,No,Si,Si,No,No,No,Bajo,Rural
10766,No,No,Si,Si,No,No,No,Bajo,Rural
10767,No,No,No,Si,No,No,No,Bajo,Rural
10768,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10769,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10770,No,No,No,Si,No,No,Si,Medio alto,Urbano
10771,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10772,Si,No,Si,Si,No,Si,No,Medio alto,Urbano
10773,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10774,No,No,No,Si,No,No,No,Bajo,Rural
10775,No,No,No,Si,No,No,No,Bajo,Rural
10776,No,No,No,Si,No,No,No,Bajo,Rural
10777,No,No,No,Si,No,No,No,Bajo,Rural
10778,No,No,Si,Si,No,No,No,Bajo,Rural
10779,No,No,Si,Si,No,No,No,Bajo,Rural
10780,No,No,No,Si,No,No,Si,Bajo,Rural
10781,Si,No,Si,Si,No,No,No,Bajo,Rural
10782,No,No,Si,Si,No,Si,Si,Alto,Urbano
10783,No,No,Si,Si,No,Si,Si,Alto,Urbano
10784,Si,No,Si,Si,No,Si,Si,Alto,Urbano
10785,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10786,Si,No,No,No,No,No,No,Bajo,Rural
10787,Si,Si,Si,Si,No,No,No,Medio bajo,Rural
10788,Si,No,Si,Si,No,No,No,Medio bajo,Rural
10789,Si,No,No,Si,No,No,No,Medio bajo,Rural
10790,No,No,Si,Si,No,No,No,Medio bajo,Rural
10791,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
10792,Si,Si,Si,Si,No,No,Si,Medio bajo,Urbano
10793,Si,No,No,Si,No,No,No,Medio bajo,Urbano
10794,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10795,No,No,Si,Si,No,Si,Si,Bajo,Urbano
10796,Si,No,No,No,No,Si,Si,Medio alto,Urbano
10797,Si,No,No,Si,No,No,Si,Medio alto,Urbano
10798,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10799,Si,No,Si,Si,Si,No,Si,Medio alto,Urbano
10800,No,No,Si,Si,No,No,No,Medio alto,Urbano
10801,Si,No,Si,Si,No,No,No,Medio alto,Urbano
10802,Si,No,No,Si,No,Si,Si,Medio alto,Urbano
10803,Si,No,Si,No,No,No,No,Medio alto,Urbano
10804,Si,Si,Si,Si,Si,Si,Si,Medio alto,Urbano
10805,Si,Si,Si,No,No,No,Si,Medio alto,Urbano
10806,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10807,No,No,Si,Si,Si,No,No,Medio bajo,Urbano
10808,Si,No,Si,Si,Si,No,Si,Medio bajo,Rural
10809,Si,No,Si,Si,No,No,No,Medio bajo,Rural
10810,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10811,No,No,Si,Si,No,No,No,Medio bajo,Rural
10812,No,No,Si,No,No,No,No,Medio bajo,Rural
10813,Si,No,No,Si,Si,No,Si,Medio alto,Urbano
10814,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10815,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10816,No,No,Si,Si,No,Si,Si,Alto,Urbano
10817,Si,No,Si,Si,No,No,Si,Alto,Urbano
10818,No,No,Si,Si,Si,No,Si,Alto,Urbano
10819,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10820,No,No,Si,Si,No,No,No,Medio bajo,Rural
10821,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10822,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10823,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10824,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10825,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
10826,Si,No,No,Si,No,No,No,Medio alto,Urbano
10827,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
10828,No,No,Si,Si,No,No,No,Medio bajo,Rural
10829,No,No,No,Si,No,No,No,Medio bajo,Rural
10830,No,No,Si,Si,No,No,No,Medio bajo,Rural
10831,No,No,Si,Si,No,No,No,Medio bajo,Rural
10832,No,No,No,Si,No,No,No,Medio bajo,Urbano
10833,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10834,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10835,No,No,Si,Si,No,No,No,Medio alto,Urbano
10836,No,No,No,Si,No,Si,Si,Medio alto,Urbano
10837,No,No,No,No,No,No,No,Medio bajo,Urbano
10838,Si,No,Si,Si,Si,No,Si,Medio bajo,Urbano
10839,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
10840,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10841,Si,No,No,Si,No,Si,Si,Medio bajo,Urbano
10842,Si,No,Si,Si,No,No,Si,Medio alto,Urbano
10843,Si,No,No,Si,Si,Si,Si,Medio alto,Urbano
10844,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10845,No,No,Si,No,No,No,No,Medio alto,Urbano
10846,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
10847,No,No,Si,Si,No,Si,Si,Bajo,Rural
10848,No,No,Si,Si,No,No,No,Bajo,Rural
10849,No,No,Si,No,No,No,No,Bajo,Rural
10850,No,No,Si,Si,No,Si,Si,Medio bajo,Rural
10851,No,No,Si,Si,No,No,No,Medio bajo,Rural
10852,No,No,No,Si,No,Si,Si,Medio bajo,Rural
10853,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10854,Si,No,Si,Si,No,No,Si,Medio bajo,Rural
10855,No,No,No,Si,No,No,No,Alto,Urbano
10856,Si,No,No,Si,No,No,No,Medio bajo,Rural
10857,Si,No,No,Si,No,No,No,Medio bajo,Rural
10858,Si,Si,No,Si,No,No,No,Medio bajo,Rural
10859,No,No,No,No,No,No,No,Medio bajo,Rural
10860,No,No,Si,Si,No,No,No,Medio bajo,Rural
10861,Si,Si,No,Si,No,Si,Si,Medio bajo,Rural
10862,No,No,Si,Si,No,Si,Si,Alto,Urbano
10863,No,Si,Si,Si,No,Si,Si,Alto,Urbano
10864,Si,No,Si,Si,No,Si,Si,Alto,Urbano
10865,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10866,No,No,Si,Si,No,Si,Si,Alto,Urbano
10867,No,No,No,Si,Si,Si,Si,Alto,Urbano
10868,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10869,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10870,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10871,No,No,Si,Si,No,No,Si,Alto,Urbano
10872,No,No,Si,Si,Si,Si,No,Medio alto,Urbano
10873,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10874,Si,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10875,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10876,Si,No,No,Si,Si,No,No,Alto,Urbano
10877,No,No,Si,Si,Si,No,Si,Alto,Urbano
10878,No,No,Si,Si,No,No,Si,Alto,Urbano
10879,No,No,Si,Si,No,Si,Si,Alto,Urbano
10880,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10881,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10882,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10883,Si,Si,Si,Si,No,No,Si,Medio bajo,Urbano
10884,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10885,Si,No,No,Si,No,No,Si,Alto,Urbano
10886,No,No,Si,No,No,No,Si,Alto,Urbano
10887,Si,No,No,Si,No,No,Si,Alto,Urbano
10888,No,No,Si,Si,No,Si,Si,Alto,Urbano
10889,No,No,Si,Si,No,No,Si,Alto,Urbano
10890,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10891,No,No,Si,Si,No,No,Si,Alto,Urbano
10892,No,No,Si,No,No,No,Si,Alto,Urbano
10893,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10894,Si,No,No,Si,No,No,Si,Medio alto,Urbano
10895,Si,No,Si,No,No,No,No,Bajo,Urbano
10896,No,No,No,No,No,No,No,Bajo,Urbano
10897,No,No,Si,Si,No,No,No,Bajo,Urbano
10898,Si,No,Si,Si,No,No,Si,Bajo,Urbano
10899,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10900,No,No,Si,Si,Si,Si,Si,Alto,Urbano
10901,No,No,Si,Si,No,Si,Si,Alto,Urbano
10902,No,No,Si,Si,Si,No,Si,Alto,Urbano
10903,Si,No,Si,Si,No,Si,Si,Alto,Urbano
10904,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10905,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10906,Si,Si,No,Si,No,No,No,Medio bajo,Urbano
10907,No,Si,Si,No,No,No,Si,Medio bajo,Urbano
10908,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10909,No,No,Si,Si,Si,No,Si,Medio alto,Urbano
10910,No,No,Si,No,No,No,Si,Medio alto,Urbano
10911,Si,Si,No,Si,No,No,No,Medio alto,Urbano
10912,No,No,Si,Si,No,Si,Si,Alto,Urbano
10913,No,No,Si,Si,No,No,No,Medio bajo,Rural
10914,Si,No,Si,Si,No,No,No,Medio bajo,Rural
10915,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10916,No,No,Si,Si,No,No,Si,Medio bajo,Rural
10917,Si,No,No,No,No,No,No,Bajo,Rural
10918,Si,No,No,Si,No,No,No,Bajo,Rural
10919,Si,Si,Si,Si,No,Si,Si,Medio alto,Urbano
10920,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10921,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10922,Si,Si,Si,Si,No,Si,Si,Medio alto,Urbano
10923,Si,Si,Si,Si,No,Si,Si,Medio alto,Urbano
10924,No,No,Si,Si,No,No,No,Medio alto,Urbano
10925,Si,Si,Si,Si,No,No,No,Medio bajo,Urbano
10926,Si,No,No,Si,No,No,No,Medio bajo,Urbano
10927,Si,No,No,No,No,No,No,Bajo,Rural
10928,Si,Si,No,No,No,No,No,Bajo,Rural
10929,No,No,No,Si,No,No,No,Bajo,Rural
10930,No,Si,Si,Si,No,No,Si,Bajo,Rural
10931,No,Si,Si,Si,No,No,No,Bajo,Rural
10932,Si,No,No,No,No,No,No,Bajo,Rural
10933,No,No,Si,Si,No,No,No,Bajo,Rural
10934,No,No,Si,No,No,No,No,Bajo,Rural
10935,Si,No,Si,Si,No,No,Si,Medio alto,Urbano
10936,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10937,Si,Si,Si,Si,No,Si,Si,Medio alto,Urbano
10938,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10939,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10940,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10941,Si,Si,No,Si,No,Si,Si,Medio bajo,Urbano
10942,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
10943,No,No,Si,Si,No,No,No,Bajo,Rural
10944,No,No,Si,Si,No,No,No,Bajo,Rural
10945,No,No,Si,Si,No,No,No,Bajo,Rural
10946,No,No,Si,Si,No,No,No,Bajo,Rural
10947,No,No,Si,Si,No,No,No,Bajo,Rural
10948,No,No,Si,Si,No,Si,No,Bajo,Rural
10949,No,No,Si,Si,No,Si,No,Bajo,Rural
10950,Si,Si,Si,Si,No,No,No,Bajo,Rural
10951,No,No,Si,Si,No,No,No,Bajo,Rural
10952,Si,No,Si,No,No,No,No,Bajo,Rural
10953,No,No,Si,Si,No,No,No,Bajo,Rural
10954,Si,No,Si,No,No,No,No,Bajo,Rural
10955,Si,No,Si,Si,No,No,No,Bajo,Rural
10956,Si,Si,No,No,No,No,No,Bajo,Rural
10957,Si,Si,No,Si,No,No,No,Bajo,Rural
10958,Si,No,No,Si,No,Si,Si,Medio alto,Urbano
10959,Si,Si,Si,Si,No,Si,Si,Medio bajo,Urbano
10960,No,No,No,Si,No,Si,Si,Medio bajo,Urbano
10961,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10962,Si,No,No,Si,Si,No,Si,Medio bajo,Urbano
10963,Si,No,No,No,No,No,No,Medio bajo,Urbano
10964,Si,No,No,Si,No,No,No,Medio bajo,Urbano
10965,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
10966,Si,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10967,Si,Si,No,Si,No,No,Si,Bajo,Rural
10968,Si,Si,No,Si,No,No,Si,Bajo,Rural
10969,Si,No,Si,Si,No,Si,Si,Bajo,Rural
10970,No,No,Si,Si,Si,Si,No,Bajo,Rural
10971,No,No,Si,Si,No,Si,Si,Bajo,Rural
10972,Si,No,No,Si,No,No,No,Bajo,Rural
10973,No,No,Si,Si,No,Si,Si,Bajo,Rural
10974,Si,No,No,Si,No,No,No,Bajo,Rural
10975,No,No,No,Si,No,No,No,Bajo,Rural
10976,Si,Si,No,Si,No,Si,Si,Medio bajo,Rural
10977,No,Si,Si,Si,No,No,Si,Medio bajo,Urbano
10978,No,No,Si,Si,No,No,No,Medio bajo,Urbano
10979,Si,Si,Si,Si,No,No,Si,Medio alto,Urbano
10980,Si,No,Si,Si,Si,Si,Si,Medio alto,Urbano
10981,No,No,Si,Si,No,No,Si,Medio alto,Urbano
10982,No,No,Si,Si,No,No,No,Medio alto,Urbano
10983,No,No,Si,Si,Si,No,Si,Medio alto,Urbano
10984,Si,No,No,Si,No,No,No,Bajo,Urbano
10985,Si,Si,Si,Si,No,No,No,Bajo,Urbano
10986,No,No,Si,Si,No,Si,Si,Bajo,Urbano
