UPM,VIV_SEL,HOGAR,P4_1_1,P4_1_2,P4_1_3,P4_1_4,P4_1_5,P4_1_6,P4_2_1,P4_2_2,P4_2_3,P4_3,P4_3A,P4_4,P4_5,P4_6_1,P4_6_2,P4_6_3,P4_6_4,P4_6_5,P4_6_6,P4_6A,P4_7_1,P4_7_2,P4_7_3,P4_7_4,P4_7A,P4_8,P4_8A,P5_1,P5_2_1,P5_2_2,P5_3_1,P5_3_2,P5_4,P5_4A,P5_5,P5_6_1,P5_6_2,P5_6_3,P5_6_4,P5_6_5,P5_7_1,P5_8_1,P5_9_1,P5_10_1,P5_7_2,P5_8_2,P5_9_2,P5_10_2,P5_7_3,P5_8_3,P5_9_3,P5_10_3,P5_7_4,P5_8_4,P5_9_4,P5_10_4,P5_7_5,P5_8_5,P5_9_5,P5_10_5,P5_7_6,P5_8_6,P5_9_6,P5_7_7,P5_8_7,P5_9_7,P5_7_8,P5_8_8,P5_9_8,P5_11_1,P5_11_2,P5_11_3,FAC_HOG,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO
202817,3,1,1,2,2,1,1,1,2,1,1,,,1,3,1,2,2,2,2,2,,1,2,2,2,,,,2,,,,,2,,1,1,2,1,1,2,2,,,,2,,,,2,,,,2,,,,1,389,,,2,,,2,,,2,,,1,3,1,2172,106,14,U,1,4
202817,4,1,2,2,2,1,1,2,2,1,2,,,1,3,1,2,2,2,2,2,,1,2,2,2,,,,2,,,,,2,,1,1,2,1,1,2,2,,,,2,,,,2,,,,2,,,,1,389,,,2,,,2,,,2,,,1,3,1,2172,106,14,U,1,4
400229,1,1,1,2,2,1,1,2,2,1,1,,,1,3,1,2,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,2,,,,2,,,,2,,,,1,599,,,1,600,,2,,,2,,,1,1,1,172,253,31,U,1,4
400233,3,1,1,1,2,1,1,1,2,2,2,4,,1,3,2,1,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,1,500,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,1,1,1,328,254,30,U,1,3
400233,4,1,2,2,2,1,1,2,2,2,2,6,NO HA TENIDO OPORTUNIDAD DE ADQUIRIR UNA,1,3,2,1,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,380,,,2,,,,2,,,2,,,2,,,1,1,3,328,254,30,U,1,3
360011,12,1,2,2,2,2,1,2,2,2,2,8,,2,,,,,,,,,,,,,,1,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,153,232,20,R,4,1
360011,5,1,2,2,2,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,153,232,20,R,4,1
360011,7,1,2,1,2,2,1,1,2,2,2,2,,1,2,,,,,,,,1,2,2,2,,,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,153,232,20,R,4,1
360011,13,1,2,1,2,2,1,2,2,2,2,2,,2,,,,,,,,,,,,,,6,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,215,,2,,,2,,,3,1,3,153,232,20,R,4,1
400234,3,1,2,2,2,1,1,2,2,2,1,,,2,,,,,,,,,,,,,,2,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,284,255,30,U,1,3
400234,4,1,2,2,2,1,1,2,2,2,2,2,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,1,2,,,1,1,1,1,1,2,2,,,,1,1300,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,8,1,1,284,255,30,U,1,3
400234,5,1,1,1,2,1,1,2,1,2,2,,,2,,,,,,,,,,,,,,1,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,284,255,30,U,1,3
400289,2,1,2,2,2,1,1,2,2,2,2,5,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,1600,,,2,,,,2,,,2,,,2,,,1,1,3,197,256,30,U,1,3
400289,3,1,2,2,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,197,256,30,U,1,3
400289,4,1,2,2,2,1,1,2,1,1,1,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,9999,,,2,,,,2,,,2,,,2,,,1,1,3,197,256,30,U,1,3
400289,5,1,2,2,2,1,1,1,2,2,1,,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,700,,2,,,2,,,3,1,3,197,256,30,U,1,3
400289,1,1,2,2,2,1,1,2,2,1,1,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,350,,,2,,,,2,,,2,,,2,,,2,2,3,197,256,30,U,1,3
360013,6,1,2,2,2,1,1,2,2,2,2,3,,2,,,,,,,,,,,,,,3,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,212,,2,,,2,,,3,1,3,99,233,20,R,4,1
360013,14,1,2,2,2,1,1,2,2,2,2,2,,2,,,,,,,,,,,,,,3,,2,,,,,4,ESTAN AVERIGUANDO COMO PONERLO,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,99,233,20,R,4,1
360013,15,1,2,1,2,1,1,2,2,2,1,,,1,1,2,2,1,2,2,2,,,,,,,,,1,2,1,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,200,,2,,,1,300,,1,1,3,99,233,20,R,4,1
400907,5,1,2,2,2,1,1,2,2,2,1,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,1,600,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,2,1,2,261,300,28,U,1,1
400907,1,1,1,1,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,229,,2,,,2,,,3,1,3,261,300,28,U,1,1
400907,2,1,2,1,2,2,1,1,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,1,2,1,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,150,,2,,,2,,,3,1,3,261,300,28,U,1,1
400907,3,1,2,2,2,1,2,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,300,28,U,1,1
400982,3,1,2,2,2,1,1,2,2,1,1,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,500,,,2,,,,2,,,2,,,2,,,1,1,3,867,301,29,U,1,2
400982,4,1,1,1,2,2,1,2,2,2,2,3,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,270,,2,,,2,,,3,1,3,867,301,29,U,1,2
401445,16,1,2,2,2,1,2,2,2,2,2,3,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,130,,2,,,2,,,3,2,3,225,318,25,U,3,1
401445,17,1,2,1,2,1,1,2,2,1,2,,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,150,,2,,,2,,,3,1,3,225,318,25,U,3,1
401445,11,1,2,1,2,1,1,2,2,1,2,,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,130,,2,,,2,,,3,1,3,225,318,25,U,3,1
401445,12,1,2,1,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,130,,2,,,2,,,3,1,3,225,318,25,U,3,1
401445,13,1,2,2,2,1,1,2,2,2,1,,,2,,,,,,,,,,,,,,2,,2,,,,,4,POR QUE NO ESTA SATISFECHO CON EL SERVICIO,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,225,318,25,U,3,1
401445,14,1,2,2,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,120,,2,,,2,,,3,1,3,225,318,25,U,3,1
401445,7,1,2,1,2,1,1,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,135,,2,,,2,,,3,1,3,225,318,25,U,3,1
401445,8,1,2,2,2,1,1,2,1,1,2,,,1,1,2,2,1,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,150,,2,,,1,250,,2,2,3,225,318,25,U,3,1
401445,9,1,2,1,2,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,140,,2,,,2,,,3,1,3,225,318,25,U,3,1
260387,5,1,2,2,2,1,1,2,2,1,2,,,1,3,2,1,2,2,2,2,,1,2,2,2,,,,1,2,1,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,319,,2,,,1,340,,1,2,3,378,176,10,R,4,2
260387,9,1,1,2,2,2,1,2,2,2,2,3,,2,,,,,,,,,,,,,,3,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,378,176,10,R,4,2
260387,15,1,2,1,2,2,1,2,2,2,2,4,,2,,,,,,,,,,,,,,1,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,210,,2,,,2,,,3,2,3,378,176,10,R,4,2
260387,10,1,2,2,2,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,378,176,10,R,4,2
260387,19,1,2,1,2,2,2,2,2,2,2,3,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,9999,,2,,,2,,,3,1,3,378,176,10,R,4,2
260387,20,1,1,1,2,2,1,2,2,2,2,4,,2,,,,,,,,,,,,,,2,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,378,176,10,R,4,2
260387,4,1,1,1,1,2,1,2,2,2,1,,,1,3,1,2,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,2,,,,2,,,,2,,,,1,400,,,1,400,,2,,,2,,,1,1,1,378,176,10,R,4,2
260396,10,1,2,1,2,1,1,2,2,1,2,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,550,,,2,,,,2,,,2,,,2,,,1,1,3,500,177,10,R,4,2
301032,18,1,1,2,1,1,1,1,2,1,2,,,1,1,1,2,2,2,2,2,,,,,,,,,1,2,1,2,2,,,1,1,1,1,1,2,2,,,,2,,,,2,,,,2,,,,1,800,,,1,450,,2,,,2,,,1,2,1,401,219,18,U,2,4
301032,1,1,1,1,1,1,1,2,1,1,2,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,530,,,2,,,,2,,,2,,,2,,,1,1,3,401,219,18,U,2,4
360011,1,1,2,2,2,1,1,2,2,2,2,5,,2,,,,,,,,,,,,,,7,NO ES SU CASA PROPIA,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,210,,2,,,2,,,3,1,3,153,232,20,R,4,1
360013,1,1,2,2,2,2,1,2,2,2,2,3,,2,,,,,,,,,,,,,,1,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,99,233,20,R,4,1
360013,2,1,2,2,2,1,1,2,2,2,1,,,2,,,,,,,,,,,,,,7,LOS ADULTO USAN DATOS,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,320,,2,,,2,,,3,1,3,99,233,20,R,4,1
360013,3,1,2,2,2,2,1,1,2,1,1,,,1,1,1,2,2,2,2,2,,,,,,,,,2,,,,,2,,2,1,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,1,400,,1,3,3,99,233,20,R,4,1
360013,4,1,2,1,1,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,230,,2,,,2,,,3,2,3,99,233,20,R,4,1
400576,1,1,2,2,2,1,1,2,1,2,2,,,1,1,1,2,2,2,2,2,,,,,,,,,1,2,1,2,2,,,1,1,1,1,1,2,2,,,,2,,,,2,,,,2,,,,1,400,,,1,280,,2,,,2,,,1,1,1,250,277,30,U,1,3
400576,2,1,1,2,2,1,1,2,2,2,1,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,409,,,2,,,,2,,,2,,,2,,,1,1,3,250,277,30,U,1,3
400579,1,1,2,2,2,2,1,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,939,278,29,U,1,2
400579,2,1,2,2,2,1,1,2,2,1,2,,,1,3,2,1,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,550,,,2,,,,2,,,2,,,2,,,1,1,3,939,278,29,U,1,2
400579,3,1,1,1,2,1,1,2,2,1,2,,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,280,,2,,,2,,,3,1,3,939,278,29,U,1,2
400579,4,1,1,2,2,1,1,2,2,2,2,4,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,260,,2,,,2,,,3,1,3,939,278,29,U,1,2
400579,5,1,2,2,2,1,1,2,2,1,2,,,1,1,2,2,1,2,2,2,,,,,,,,,2,,,,,2,,2,1,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,1,300,,1,3,3,939,278,29,U,1,2
360013,16,1,2,2,2,1,1,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,216,,2,,,2,,,3,1,3,99,233,20,R,4,1
360013,17,1,2,1,2,2,1,2,2,1,2,,,2,,,,,,,,,,,,,,1,,1,2,1,1,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,200,,2,,,2,,,3,1,3,99,233,20,R,4,1
360013,18,1,1,2,2,1,1,2,2,2,2,3,,1,2,,,,,,,,1,2,2,2,,,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,169,,2,,,2,,,3,1,3,99,233,20,R,4,1
360013,19,1,2,2,2,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,99,233,20,R,4,1
260057,18,1,2,1,2,1,1,2,2,2,1,,,2,,,,,,,,,,,,,,1,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,300,,2,,,2,,,3,1,3,274,166,9,R,4,1
260057,9,1,1,1,2,1,1,2,2,2,2,2,,2,,,,,,,,,,,,,,6,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,580,,2,,,2,,,3,1,3,274,166,9,R,4,1
260057,10,1,2,1,2,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,4,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,200,,2,,,2,,,3,2,3,274,166,9,R,4,1
260057,11,1,1,2,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,246,,2,,,2,,,3,2,3,274,166,9,R,4,1
260057,12,1,2,2,2,2,2,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,166,9,R,4,1
260057,13,1,2,2,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,274,166,9,R,4,1
260057,3,1,2,2,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,274,166,9,R,4,1
260057,4,1,1,2,2,1,1,2,2,1,2,,,1,3,1,2,2,2,2,2,,1,2,2,2,,,,2,,,,,2,,1,1,2,1,1,2,2,,,,2,,,,2,,,,2,,,,1,380,,,2,,,2,,,2,,,1,3,1,274,166,9,R,4,1
260057,5,1,1,2,2,2,1,2,2,2,2,2,,2,,,,,,,,,,,,,,3,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,274,166,9,R,4,1
260057,19,1,2,2,2,1,1,2,2,2,2,1,,1,2,,,,,,,,1,2,2,2,,,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,274,166,9,R,4,1
300374,3,1,1,1,1,1,1,2,1,2,2,,,2,,,,,,,,,,,,,,3,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,379,,2,,,2,,,3,1,3,961,198,22,U,1,2
300374,4,1,2,1,2,2,1,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,961,198,22,U,1,2
300374,1,1,1,2,2,1,1,2,2,2,2,1,,1,1,1,2,2,2,2,2,,,,,,,,,2,,,,,1,,2,1,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,1,9999,,1,3,3,961,198,22,U,1,2
300374,1,2,2,2,2,2,1,2,2,2,2,5,,1,1,1,2,2,2,2,2,,,,,,,,,2,,,,,4,NO TIENEN TELEVISION,2,1,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,1,350,,2,3,3,961,198,22,U,1,2
300374,5,1,2,1,2,1,1,2,1,2,2,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,660,,,2,,,,2,,,2,,,2,,,2,1,3,961,198,22,U,1,2
300389,1,1,1,1,1,1,1,2,2,2,2,2,,2,,,,,,,,,,,,,,1,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,210,,2,,,2,,,3,1,3,936,199,22,U,1,2
300389,2,1,1,2,2,1,1,2,2,2,2,2,,1,2,,,,,,,,1,2,2,2,,,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,936,199,22,U,1,2
300389,3,1,1,2,2,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,936,199,22,U,1,2
300389,5,1,1,2,2,2,2,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,2,,,,,2,,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936,199,22,U,1,2
300389,4,1,1,1,1,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,500,,2,,,2,,,3,1,3,936,199,22,U,1,2
300439,3,1,2,2,2,2,2,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,200,23,U,1,3
300439,4,1,1,2,2,1,1,2,2,2,2,2,,1,2,,,,,,,,1,2,2,2,,,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,666,200,23,U,1,3
300439,5,1,1,2,2,1,1,2,2,2,2,2,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,1,2,2,,,1,1,1,1,1,2,2,,,,1,480,,,2,,,,2,,,,2,,,,1,216,,2,,,2,,,8,1,1,666,200,23,U,1,3
260115,3,1,1,1,2,1,1,1,2,1,1,,,1,3,2,1,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,1,550,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,1,1,1,323,169,10,R,4,2
301129,20,1,2,2,2,2,1,2,2,2,2,3,,2,,,,,,,,,,,,,,2,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,106,225,15,U,2,1
301129,7,1,2,2,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,106,225,15,U,2,1
301135,15,1,2,2,2,1,1,2,2,1,2,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,1,500,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,2,2,2,87,226,15,U,2,1
301135,11,1,2,2,2,1,1,1,1,2,1,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,9999,,,2,,,,2,,,2,,,2,,,2,1,3,87,226,15,U,2,1
301135,12,1,1,1,2,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,260,,2,,,2,,,3,1,3,87,226,15,U,2,1
